  25 - 29 Years,22284
  30 - 34 Years,23320
  35 - 39 Years,28054
  40 - 44 Years,33404
  45 - 49 Years,31548
  50 - 54 Years,26868
  55 - 59 Years,24396
  60 - 64 Years,20526
  65 - 69 Years,14959
  70 - 74 Years,10747
  75 - 79 Years,4552
  80 - 84 Years,3516
  85 - 89 Years,2000
  65 Years & Over,37100
  70 Years & Over,22141
  75 Years & Over,11394
  80 Years & Over,6842
  85 Years & Over,3326
  90 Years & Over,1326
Total Male Indians,182594
  0 - 4 Years,7799
  5 - 9 Years,10674
  10 - 14 Years,12726
  15 - 19 Years,12149
  20 - 24 Years,11199
  25 - 29 Years,11153
  30 - 34 Years,11436
  35 - 39 Years,13163
  40 - 44 Years,17396
  45 - 49 Years,18103
  50 - 54 Years,15538
  55 - 59 Years,13149
  60 - 64 Years,10796
  65 - 69 Years,7429
  70 - 74 Years,5002
  75 - 79 Years,1977
  80 - 84 Years,1323
  85 - 89 Years,805
  65 Years & Over,17313
  70 Years & Over,9884
  75 Years & Over,4882
  80 Years & Over,2905
  85 Years & Over,1582
  90 Years & Over,777
Total Female Indians,172291
  0 - 4 Years,7248
  5 - 9 Years,10167
  10 - 14 Years,12717
  15 - 19 Years,11944
  20 - 24 Years,10762
  25 - 29 Years,11131
  30 - 34 Years,11884
  35 - 39 Years,14891
  40 - 44 Years,16008
  45 - 49 Years,13445
  50 - 54 Years,11330
  55 - 59 Years,11247
  60 - 64 Years,9730
  65 - 69 Years,7530
  70 - 74 Years,5745
  75 - 79 Years,2575
  80 - 84 Years,2193
  85 - 89 Years,1195
  65 Years & Over,19787
  70 Years & Over,12257
  75 Years & Over,6512
  80 Years & Over,3937
  85 Years & Over,1744
  90 Years & Over,549
Other Ethnic Groups (Total),127370
  0 - 4 Years,6387
  5 - 9 Years,7832
  10 - 14 Years,8504
  15 - 19 Years,8502
  20 - 24 Years,7337
  25 - 29 Years,6173
  30 - 34 Years,8293
  35 - 39 Years,11670
  40 - 44 Years,14287
  45 - 49 Years,14678
  50 - 54 Years,12160
  55 - 59 Years,8197
  60 - 64 Years,5306
  65 - 69 Years,3265
  70 - 74 Years,2234
  75 - 79 Years,955
  80 - 84 Years,775
  85 - 89 Years,472
  65 Years & Over,8044
  70 Years & Over,4779
  75 Years & Over,2545
  80 Years & Over,1590
  85 Years & Over,815
  90 Years & Over,343
Other Ethnic Groups (Males),57923
  0 - 4 Years,3070
  5 - 9 Years,3703
  10 - 14 Years,4018
  15 - 19 Years,4107
  20 - 24 Years,3663
  25 - 29 Years,2537
  30 - 34 Years,2503
  35 - 39 Years,3828
  40 - 44 Years,5953
  45 - 49 Years,6991
  50 - 54 Years,5998
  55 - 59 Years,4363
  60 - 64 Years,2876
  65 - 69 Years,1829
  70 - 74 Years,1257
  75 - 79 Years,539
  80 - 84 Years,360
  85 - 89 Years,202
  65 Years & Over,4313
  70 Years & Over,2484
  75 Years & Over,1227
  80 Years & Over,688
  85 Years & Over,328
  90 Years & Over,126
Other Ethnic Groups (Females),69447
  0 - 4 Years,3317
  5 - 9 Years,4129
  10 - 14 Years,4486
  15 - 19 Years,4395
  20 - 24 Years,3674
  25 - 29 Years,3636
  30 - 34 Years,5790
  35 - 39 Years,7842
  40 - 44 Years,8334
  45 - 49 Years,7687
  50 - 54 Years,6162
  55 - 59 Years,3834
  60 - 64 Years,2430
  65 - 69 Years,1436
  70 - 74 Years,977
  75 - 79 Years,416
  80 - 84 Years,415
  85 - 89 Years,270
  65 Years & Over,3731
  70 Years & Over,2295
  75 Years & Over,1318
  80 Years & Over,902
  85 Years & Over,487
  90 Years & Over,217
,
Footnotes:,
"Data for 1970 and from 1980 onwards refer to Singapore residents (citizens and permanent residents). Data prior to 1980 (except 1970) refer to total population. Data from 2003 onwards exclude residents who are overseas for a continuous period of 12 months or longer as at the reference period. For more information, please refer to the 'Population Trends' publication (www.singstat.gov.sg/publications/population/population-trends) and the Information Paper on 'Singapore Resident Population, 2003-2007' (www.singstat.gov.sg/-/media/files/publications/population/respop.pdf).",
Total Indians (Number):,
"From 1970, Indians include Sri Lankans (Ceylonese) who were previously classified under 'Others'.",
Total Male Indians (Number):,
"From 1970, Indians include Sri Lankans (Ceylonese) who were previously classified under 'Others'.",
Total Female Indians (Number):,
"From 1970, Indians include Sri Lankans (Ceylonese) who were previously classified under 'Others'.",
,
Notation:,
na   not available or not applicable,
nec  not elsewhere classified,
nes  not elsewhere specified,
 -     nil or negligible or not significant,
Notes,
Numbers may not add up to the totals due to rounding.,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",
Values are shown in Singapore dollars (unless otherwise specified),
,
Generated by: SingStat Table Builder,
Date generated: 26/05/2022,
Contact: info@singstat.gov.sg,
